company name,category,based in,tags,total funding,founded,website,company status
Roamler,Netherlands,Amsterdam,"Crowdsourcing, Field Marketing, Home Installations, Roamler, Amsterdam",N/A,2011,www.roamler.com,N/A
Roamlike,Germany,Cologne,"short-rental, accomodations, guest data",N/A,2018,https://plaze.in/,N/A
Roamr,Ireland,Ireland,"Productive teams, Cost reduction, Collaborative tools",Between €500K-€ 1 million,2023,https://www.roamr.com/,Active
Roarfun,Czechia,Brno,"racing simulator rental, flight simulator hire, jet fighter simulator rental",Between €1-€100K,2014,https://roarfun.com/,Active
Roas Monster,Slovenia,Ljubljana,"Advertising Services, Apps, E-commerce",No funding announced yet,2020,https://www.roasmonster.com,Active
Roasted Ox Leg,Germany,Berlin,"Artificial Intelligence, Computer Vision, Information Technology, Machine Learning, Software",Between €1-€100K,2021,https://roxleg.com/,N/A
Robco,Germany,Munich,"Industrial Automation, Information Technology, Robotics, Software",No funding announced yet,2020,https://robco.de/,N/A
Robco Swat,Bulgaria,Plovdiv,"Robotics Company, Automation, Design",Between €100K-€500K,2022,https://robco-swat.com,N/A
Robeau,Ireland,"Dublin,","buy, sell, devices, platform, save water",No funding announced yet,2016,https://www.robeau.tech/,N/A
Robin Ai,UK,London,"legal, legaltech, software",Between €500K-€ 1 million,2019,https://robinai.co.uk/,N/A
Robin Data,Germany,Merseburg,"Information Services, Information Technology, IT Consulting",No funding announced yet,2018,https://www.robin-data.io/en/,N/A
Robin Food,Slovenia,Nazarje,"Robin Hood, rich and poor, robbing, surplus food stock",No funding announced yet,2016,https://robin-food.com/,N/A
Robin Rover,Spain,Madrid,"data, analysis, consumer behavior. platform",N/A,2018,http://www.robinrover.io/,N/A
Robinbrick,Spain,Barcelona,"In-Store online Analytics, Business inteligence, Retail Operations, Retail Traffic Conversion, Big data, Wifi Anayltics, Beacon, RFID, Retail KPIS, Agility Retail , predictive consumer behaviour, cross - channel retail, Real time montoring , dashboard, optimize staff, empowerment, machine learning, e-commerce, multi-channel retail, retail, Brick and Mortar, Fashion, apparel, supply chain, and artificial intelligence",N/A,2018,http://www.robinbrick.com/,N/A
Robingood,Spain,Barcelona,"Food and Beverage, Food Delivery, Food Processing",Between €1-€100K,2018,https://robingoodselection.org/,N/A
Robinsun,Spain,Madrid,"Solar Energy, eCommerce, Renewable energy",No funding announced yet,2023,https://www.robinsun.energy,N/A
Robinsun Energy Sl,Spain,Madrid,"Solar, renewable energy, solar plug & play kits, solar balcony kits",Between €1-€100K,2023,robinsun.com,Active
Roble,Spain,Barcelona,"App, finance, FinTech",No funding announced yet,2021,https://www.robleapp.com,N/A
Roble App,Spain,Barcelona,"Elderly, Health Insurance, Personal Health",Between €1-€100K,2021,https://www.robleapp.com/,N/A
Robo Wire,Switzerland,St.Gallen,Manufacturing,Between €2.5 million-5 million,2023,https://www.robo-wire.com/,Active
Robo Wunderkind,Austria,Vienna,"Robotics, Kids Tech, EdTech, PlayTech",No funding announced yet,2013,www.robowunderkind.com,N/A
Roboauto,Czechia,Brno,"Autonomy, Teleoperation, Software development",Between €100K-€500K,2021,www.roboauto.tech,N/A
Robocath,France,Rouen,"Medical Robotics, Minimally-invasive Surgery, Interventional Cardiology, robotic, vascular , medical device, stent, and hospital",N/A,2009,www.robocath.com,N/A
Robodost,Spain,Madrid,"AI-Driven Automation, Robotic Process Automation, Supply Chain Optimization",Between €100K-€500K,2022,https://robodost.in/,Active
Robogaze,Hungary,Székesfehérvár,"accidents, injured, vehicles, driver",Between €100K-€500K,2020,https://robogaze.com/,N/A
Robomecatech Group,Spain,Ripoll,"industrial automation, no-code tools, robotics, sustainable innovation.",Between €1-€100K,2023,https://robomecatech.web.app/#inici,Active
Robopedics,Spain,Barcelona,"Individual, Family Services, Healthcare, Robotics",Between €100K-€500K,2021,https://www.robopedics.com/,Active
Roborzoid,Ireland,Cork,"technology, voice interaction, AI",Between €100K-€500K,2017,http://www.roborzoid.com/,N/A
Robosharing,Finland,Tampere,BigData,Above €25 million,2021,https://robosharing.ai/,Active
Robot Care Systems,Netherlands,The Hague,"Health Care, Medical, Medical Device, Robotics",Between €1-€100K,2014,http://www.robotcaresystems.com,N/A
Robot Muralist,Estonia,Tartu,"art, robotics, media",N/A,2015,https://www.robotmuralist.com/,N/A
Robotalife,Netherlands,Amsterdam,"Trading platform, Financial Services, Crptocurrency",No funding announced yet,2023,https://robotalife.com/,N/A
Robotbids,UK,London,"robotics, robots, marketplace, online",No funding announced yet,2025,https://www.robotbids.com/,Active
Robotdreams,Austria,Graz,"AI, Health",Above €25 million,2019,https://robotdreams.co/,Active
Robotop,Germany,Nuremberg,"B2B, SaaS, metaverse",No funding announced yet,2022,https://robotop.de/,N/A
Robotwise,Netherlands,Amstelveen,"Education, Robotics, Skill Assessment",No funding announced yet,2017,https://robotwise.nl/,N/A
Roboyo,Germany,Nürnberg,"Artificial Intelligence, Information Services ,Information Technology",No funding announced yet,2016,www.roboyo.de/,N/A
Roca X,Romania,Bucharest,"Start-ups, Management, Investments",No funding announced yet,2019,https://rocax.ro/en/homepage/,N/A
Roccamore,Denmark,"Copenhagen, Denmark","Fashion, shoes, Roccamore, Copenhagen",N/A,2013,https://roccamore.eu/,N/A
Rockagent,Italy,Rome,"Real Estate, Pay, Agencies",Between €2.5 million-5 million,2018,https://www.rockagent.it/,N/A
Rockdata,Netherlands,Rotterdam,"Advertising, Product Design, Software",No funding announced yet,2018,https://www.rockdata.nl/,N/A
Rockee,UK,London,"content marketing, content feedback, content performance",Between €1-€100K,2023,www.rockee.io,Active
Rocker,Sweden,Stockholm,"Fintech, Banking, Loans, Bynk, Rocket, Stockholm",N/A,2016,https://rocker.com,N/A
Rocket Education Rewards,Ireland,Cork,"AI-Powered Learning Incentives, Gamified Education Engagement, Seamless LMS Integration",Between €100K-€500K,2024,https://rocketeducationrewards.com/,Active
Rocket Factory Augsburg,Germany,Augsburg,"Aerospace, Satellite Communication, Space Travel",No funding announced yet,2018,https://www.rfa.space/,N/A
Rocketchart,France,Paris,"Consulting, Financial Services, Information Services, Information Technology, Software",No funding announced yet,2019,https://rocketchart.co,N/A
Rocketlink,Poland,Kraków,"Retargeting, Content, Customize",N/A,2017,https://rocketlink.io,N/A
Rocketo,UK,London,"pets, vets, subscripton, blood test",N/A,2018,https://gorocketo.com,N/A
Rocketroi,Spain,Barcelona,"Advertising, AgTech, Data Mining, Internet, Marketing Automation, Search Engine",Between €1 million-€ 2.5 million,2014,http://www.rocketroi.com,N/A
Rocketsmart,Netherlands,Eindhoven,"software, AI, ROI",Between €1-€100K,2020,https://www.rocketsmart.io/,Active
Rocketvax,Switzerland,Basel,"Biotechnology, Chemical, Health Care, Life Science, Pharmaceutical",Between €2.5 million-5 million,2020,https://rocketvax.com/,N/A
Rocketx,Netherlands,Amsterdam,"scale-up, growth hacking, recruiting, fundraising",No funding announced yet,2020,https://www.rocketx.group/,N/A
Rockfi,France,Paris,"Investment Management, FinTech, Private Equity",Between €2.5 million-5 million,2023,https://www.rockfi.fr/,Active
Rockit Vilnius,Lithuania,Vilnius,"ecosystem, lifestyle, technology",N/A,2016,https://www.rockitvilnius.com/,N/A
Rockr,UK,London,"Projects, Organizations, Platform",No funding announced yet,2021,https://rockr.ai/,N/A
Rockside,France,Neuilly-sur-seine,"transactions, API engineered, e-payment",Between €1 million-€ 2.5 million,2018,https://rockside.io/,N/A
Rockstart,Netherlands,Amsterdam,"Accounting And Finance,Authentication Services,Email Delivery Service",Between €500K-€ 1 million,2023,https://rockstart.com/,Active
Rocvin,Germany,Hamburg,"Business Travel, Last Mile Transportation, Travel",Between €5 million-€10 million,2021,https://rocvinglobal.com,N/A
Rocvin Global Mobility,Germany,Hamburg,"Business Travel, Last Mile Transportation, Travel",Between €2.5 million-5 million,2021,https://rocvinglobal.com,N/A
Rodeo,Netherlands,Amsterdam,"File Sharing, Project Management, Software",Between €5 million-€10 million,2016,https://www.getrodeo.io/,N/A
Rodeo Global,UK,England,"Community Building, Meetup Organizers,",Between €100K-€500K,2023,https://howdy.rodeo/organizer/,Active
Rodinia Generation,Denmark,Copenhagen,"Apparel Manufacturing, Innovation, Patent-Pending, Fashion",Between €2.5 million-5 million,2017,https://www.rodiniageneration.io/,Active
Rodller,Slovakia,Bratislava,"Advertising, Information Technology, Internet",No funding announced yet,2019,rodller.com,N/A
